timestamp,frame_number,time_seconds,object_class,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,bbox_center_x,bbox_center_y
2025-10-09 14:43:28,11,0.38,car,0.751,613.5,256.9,672.1,297.4,58.7,40.5,642.8,277.2
2025-10-09 14:43:28,11,0.38,car,0.712,389.7,248.7,448.4,294.3,58.7,45.6,419.0,271.5
2025-10-09 14:43:28,11,0.38,car,0.7,287.7,222.9,395.1,306.5,107.4,83.6,341.4,264.7
2025-10-09 14:43:28,11,0.38,car,0.638,120.5,238.9,206.9,304.4,86.4,65.6,163.7,271.6
2025-10-09 14:43:28,11,0.38,car,0.63,433.3,246.4,497.9,298.0,64.6,51.6,465.6,272.2
2025-10-09 14:43:28,11,0.38,traffic light,0.623,689.2,142.8,707.4,179.0,18.2,36.2,698.3,160.9
2025-10-09 14:43:28,11,0.38,person,0.598,822.3,234.2,840.9,295.5,18.6,61.3,831.6,264.9
2025-10-09 14:43:28,11,0.38,person,0.57,753.9,233.2,773.9,290.6,20.0,57.3,763.9,261.9
2025-10-09 14:43:28,11,0.38,person,0.535,791.2,239.6,808.6,294.1,17.5,54.6,799.9,266.8
2025-10-09 14:43:28,11,0.38,car,0.504,119.4,235.5,275.4,304.3,156.1,68.9,197.4,269.9
2025-10-09 14:43:29,12,0.41,car,0.888,152.4,238.2,364.7,345.0,212.3,106.8,258.6,291.6
2025-10-09 14:43:29,12,0.41,car,0.875,0.1,226.7,100.8,331.0,100.7,104.3,50.4,278.8
2025-10-09 14:43:29,12,0.41,car,0.839,463.2,246.7,562.2,306.1,99.0,59.5,512.7,276.4
2025-10-09 14:43:29,12,0.41,car,0.818,549.0,247.6,618.2,301.2,69.2,53.6,583.6,274.4
2025-10-09 14:43:29,12,0.41,car,0.771,613.2,257.1,672.3,297.4,59.1,40.4,642.7,277.2
2025-10-09 14:43:29,12,0.41,car,0.737,282.9,222.3,395.0,306.3,112.1,84.1,338.9,264.3
2025-10-09 14:43:29,12,0.41,car,0.693,434.2,246.0,497.7,298.3,63.5,52.3,465.9,272.2
2025-10-09 14:43:29,12,0.41,car,0.647,388.2,248.2,445.3,297.3,57.1,49.1,416.8,272.7
2025-10-09 14:43:29,12,0.41,car,0.641,114.6,239.6,204.6,304.9,90.0,65.3,159.6,272.2
